N°	Maintenance Type	Printer	Line	PM to be done at JT	MACHINE TIME	JET TIME	PM Ecart JT	Effective PM date	Next PM	Next Jet Time	NEXT DATE	mois prevu	Année prévue	
3861	1200h	N3A13209	Line108	22920	38111	"23,115"	195	8/11/16	2400h	24315	9/30/16	9	2016	
3860	9600h	N3A13298	Line15	46444	51079	"46,698"	254	7/15/16	9600h	56298				
3859	4800h	N3A13298	Line15	46444	51079	"46,698"	254	7/15/16	4800h	51498				
3858	2400h	N3A13298	Line15	46610	51079	"46,698"	88	7/15/16	1200h	47898	9/3/16	9	2016	
3857	1200h	N3A13823	Line63	29426	32258	"29,515"	89	8/11/16	2400h	30715	9/30/16	9	2016	
3856	2400h	N3A13273	Line64	46097	51524	46248	151	8/11/16	1200h	47448	9/30/16	12	2015	
3855	4800h	N3A13273	Line64	45921	51524	"46,248"	327	8/11/16	4800h	51048				
3854	1200h	N3A13549	Line78	35633	41076	"35,630"	-3	8/11/16	2400h	36830	9/30/16	9	2016	
3853	9600h	N3A13249	Line10	42375	47420	"43,032"	657	7/15/16	9600h	52632				
3852	4800h	N3A13249	Line10	42920	47420	"43,032"	112	7/15/16	4800h	47832				
3851	2400h	N3A13249	Line10	42920	47420	"43,032"	112	7/15/16	1200h	44232	9/3/16	9	2016	
3850	9600h	N3A13564	Line193	29300	33081	"29,566"	266	8/13/16	9600h	39166				
3849	4800h	N3A13564	Line193	29374	33081	"29,566"	192	8/13/16	4800h	34366				
3848	2400h	N3A13564	Line193	29499	33081	"29,566"	67	8/13/16	1200h	30766	10/2/16	10	2016	
3847	2400h	N3A13553	Line194	36459	40901	"36,584"	125	8/13/16	1200h	37784	10/2/16	10	2016	
3846	9600h	N3A13427	Line23	45545	51388	"45,689"	144	7/26/16	9600h	55289				
3845	2400h	N3A13427	Line23	45975	51738	"46,084"	109	8/10/16	1200h	47284	9/29/16	9	2016	
3844	4800h	N3A13208	Line18	23747	27642	"23,857"	110	8/14/16	4800h	28657				
3843	2400h	N3A13208	Line18	23747	27642	"23,857"	110	8/14/16	1200h	25057	10/3/16	10	2016	
3842	1200h	N3A13248	Line58	46910	52916	"46,936"	26	8/10/16	2400h	48136	9/29/16	9	2016	
3841	1200h	N3A13488	Line38	46346	51020	"46,364"	18	8/11/16		47564				
3840	2400h	N3A13420	Line193	37310	42502	"37,300"	-10	8/14/16	1200h	38500	10/3/16	10	2016	
3839	2400h	N3A13825	Line21	36072	40168	"36,093"	21	8/13/16	1200h	37293	10/2/16	10	2016	
3838	2400h	N3A13548	Line42	7396	7870	"7,490"	94	8/15/16	1200h	8690	10/4/16			
3837	1200h	N3A13252	Line193	29000	31547	"29,047"	47	8/16/16	2400h	30247	10/5/16	2	2016	
3836	1200h	N3A13527	Line193	27627	39223	"27,788"	161	8/23/16	2400h	28988	10/12/16	10	2016	
3835	2400h	N3A13217	Line51	20274	24944	"20,268"	-6	8/25/16	1200h	21468	10/14/16	10	2016	
3834	2400h	N3A13724	Line193	32819	42212	"32,805"	-14	8/26/16	1200h	34005	10/15/16	10	2016	
3833	1200h	N3A13251	Line194	41453	46498	"41,371"	-82	8/26/16	2400h	42571	10/15/16	10	2016	
3832	1200h	N3A13296	Line113	47857	52286	"47,992"	135	8/26/16	2400h	49192	10/15/16	10	2016	
3831	1200h	AS00000090360	Line114	20867	23012	"20,923"	56	8/26/16	2400h	22123	10/15/16	10	2016	
3830	4800h	N3A13499	Line31	14792	15328	"14,907"	115	8/27/16	4800h	19707				
3829	2400h	N3A13499	Line31	14922	15328	"14,907"	-15	8/27/16	1200h	16107	10/16/16	10	2016	
3828	1200h	N3A13558	Line119	41940	46141	"41,944"	4	8/29/16	2400h	43144	10/18/16	10	2016	
3827	2400h	N3A13321	Line20	41473	47127	"41,663"	190	7/30/16		42863				
3826	1200h	N3A13293	Line4	42680	47628	"42,844"	164	8/8/16		44044				
3825	1200h	N3A13548	Line42	6120	6700	"6,196"	76	6/26/16		7396				
3824	4800h	N3A13419	Line193	16261	33474	"16,484"	223	7/10/16	4800h	21284				
3823	2400h	N3A13419	Line193	16378	33474	"16,484"	106	7/10/16		17684				
3822	1200h	N3A13827	Line193	17994	18599	"17,993"	-1	7/11/16	2400h	19193	8/30/16	8	2016	
3821	2400h	N3A13247	Line69	38413	49215	"38,249"	-164	6/1/16		39449				
3820	4800h	N3A13420	Line193	32108	37350	"32,108"	0	1/23/16	4800h	36908				
3819	1200h	N3A13217	Line51	19041	23747	"19,074"	33	7/2/16		20274				
3818	1200h	N3A13724	Line193	31614	40908	"31,619"	5	7/2/16		32819				
3817	1200h	N3A13525	Line193	23313	27297	"23,296"	-17	7/4/16		24496				
3816	1200h	N3A13552	Line28	35520	44420	"35,600"	80	6/30/16		36800				
3815	4800h	N3A13551	Line193	34380	36330	"34,560"	180	7/22/16	4800h	39360				
3814	1200h	N3A13428	Line22	33402	51495	"33,465"	63	7/30/16	2400h	34665	9/18/16	9	2016	
3813	1200h	N3A13300	Line97	39943	42580	"40,138"	195	7/24/16		41338				
3812	9600h	N3A13721	Line44	39584	45911	"39,773"	189	7/24/16	9600h	49373				
3811	4800h	N3A13721	Line44	39646	45911	"39,773"	127	7/24/16	4800h	44573				
3810	9600h	N3A13272	Line95	17744	21021	"17,950"	206	7/31/16	9600h	27550				
3809	4800h	N3A13272	Line95	17830	21021	"17,950"	120	7/31/16	4800h	22750				
3808	2400h	N3A13272	Line95	17897	21021	"17,950"	53	7/31/16	1200h	19150	9/19/16	9	2016	
3807	9600h	N3A13261	Line88	32814	36000	"32,580"	-234	7/29/16	9600h	42180				
3806	1200h	N3A13261	Line88	32400	36000	"32,580"	180	7/29/16	2400h	33780	9/17/16	9	2016	
3805	1200h	N3A13315	Line193	31650	36470	"31,840"	190	7/28/16		33040				
3804	4800h	N3A13314	Line60	40172	46258	"40,294"	122	7/30/16	4800h	45094				
3803	2400h	N3A13314	Line60	40172	46258	"40,294"	122	7/30/16		41494				
3802	1200h	N3A13819	Line75	40103	44888	"40,149"	46	7/28/16		41349				
3801	1200h	N3A13417	Line34	37105	42727	"37,282"	177	7/11/16		38482				
3800	1200h	N3A13550	Line33	45472	48502	"45,538"	66	7/3/16		46738				
3799	1200h	N3A13725	Line61	30954	42460	"30,994"	40	7/4/16	2400h	32194	8/23/16	8	2016	
3798	4800h	N3A13717	Line105	32713	35772	"33,096"	383	7/4/16	4800h	37896				
3797	2400h	N3A13556	Line13	32586	36356	"32,777"	191	7/8/16		33977				
3796	1200h	N3A13491	Line19	47447	49198	"47,630"	183	7/2/16		48830				
3795	1200h	N3A13265	Line29	39221	44421	"39,221"	0	7/8/16	2400h	40421	8/27/16	8	2016	
3794	2400h	N3A13558	Line119	40726	44935	"40,740"	14	7/10/16		41940				
3793	1200h	N3A13493	Line2	19238	27567	"19,238"	0	7/10/16		20438				
3792	1200h	N3A13422	Line12	35129	42994	"35,300"	171	7/12/16		36500				
3791	4800h	N3A13497	Line16	38730	46290	"38,972"	242	7/11/16	4800h	43772				
3790	2400h	N3A13497	Line16	38883	46290	"38,972"	89	7/11/16		40172				
3789	9600h	AS0000090362	Line30	36300	38045	"36,387"	87	7/12/16	9600h	45987				
3788	1200h	AS0000090362	Line30	36300	38045	"36,387"	87	7/12/16		37587				
3787	4800h	N3A13718	Line193	16599	19367	"16,599"	0	5/16/16	4800h	21399				
3786	2400h	N3A13718	Line193	16599	19367	"16,599"	0	5/16/16		17799				
3785	1200h	N3A13717	Line105	31749	34604	"31,929"	180	5/17/16		33129				
3784	1200h	N3A13495	Line41	25863	26779	"26,011"	148	7/22/16	2400h	27211	9/10/16	9	2016	
3783	9600h	N3A13313	Line76	49080	53900	"49,250"	170	7/16/16	9600h	58850				
3782	4800h	N3A13313	Line76	49080	53900	"49,250"	170	7/16/16	4800h	54050				
3781	2400h	N3A13313	Line76	49080	53900	"49,250"	170	7/16/16		50450				
3780	1200h	N3A13551	Line194	34380	36330	"34,560"	180	7/22/16		35760				
3779	2400h	N3A13565	Line98	42289	48505	"42,470"	181	7/21/16	1200h	43670	9/9/16	9	2016	
3778	1200h	N3A13426	Line52	33317	35477	"33,289"	-28	7/24/16	2400h	34489	9/12/16	9	2016	
3777	4800h	N3A13254	Line37	44880	51804	"44,943"	63	7/16/16	4800h	49743				
3776	4800h	AS0000090362	Line30	36300	38045	"36,387"	87	7/12/16	4800h	41187				
3775	2400h	N3A13320	Line193	34879	40040	"34,891"	12	7/14/16		36091				
3774	2400h	N3A13207	Line193	41119	43822	"41,159"	40	7/15/16	1200h	42359	9/3/16	9	2016	
3773	9600h	N3A13722	Line11	40178	42729	"40,362"	184	7/15/16	9600h	49962				
3772	4800h	N3A13722	Line11	40178	42729	"40,362"	184	7/15/16	4800h	45162				
3771	2400h	N3A13722	Line11	40178	42729	"40,362"	184	7/15/16		41562				
3770	1200h	N3A13511	Line193	29354	47210	"29,430"	76	7/15/16		30630				
3769	1200h	N3A13490	Line73	44829	48943	"44,982"	153	7/16/16		46182				
3768	1200h	N3A13559	Line8	39400	45239	"39,448"	48	7/16/16		40648				
3767	2400h	AS0000090363	Line65	10123	10420	"10,100"	-23	7/17/16		11300				
3766	1200h	N3A13421	Line193	44750	50100	"44,850"	100	7/11/16	2400h	46050	8/30/16	8	2016	
3765	1200h	N3A13719	Line94	40784	45505	"40,800"	16	7/12/16	2400h	42000	8/31/16	8	2016	
3764	9600h	N3A13254	Line37	44880	51740	"44,880"	0	7/8/16	9600h	54480				
3763	9600h	N3A13487	Line1	40919	44174	"41,018"	99	7/8/16	9600h	50618				
3762	2400h	N3A13487	Line1	40919	44174	"41,018"	99	7/8/16		42218				
3761	4800h	N3A13418	Line89	25391	40426	"25,626"	235	2/3/16	4800h	30426				
3760	1200h	AS0000090363	Line65	8943	9220	"8,923"	-20	5/23/16		10123				
3759	4800h	N3A13247	Line69	37972	50319	"38,150"	178	6/27/16	4800h	42950				
3758	4800h	N3A13252	Line44	27777	30498	"28,056"	392	6/25/16	4800h	32856				
3757	1200h	N3A13721	Line78	38981	40150	"39,056"	75	6/25/16		40256				
3756	2400h	N3A13251	Line80	40383	45375	"40,253"	-130	6/30/16		41453				
3755	9600h	N3A13296	Line113	46477	50725	"46,657"	180	6/29/16	9600h	56257				
3754	4800h	N3A13296	Line113	46477	50725	"46,657"	180	6/29/16	4800h	51457				
3753	2400h	N3A13296	Line113	46477	50725	"46,657"	180	6/29/16		47857				
3752	1200h	N3A13251	Line80	39146	44151	"39,183"	37	5/9/16		40383				
3751	1200h	N3A13294	Line105	40088	44017	"40,156"	68	6/20/16	2400h	41356	8/9/16	8	2016	
3750	1200h	N3A13723	Line85	18014	19429	"18,011"	-3	6/4/16		19211				
3749	2400h	N3A13246	Line116	25618	30313	"25,598"	-20	6/4/16		26798				
3748	2400h	N3A13511	Line193	28000	45895	"28,154"	154	6/4/16		29354				
3747	2400h	N3A13426	Line52	32019	34305	"32,117"	98	6/6/16		33317				
3746	2400h	N3A13819	Line75	38927	43641	"38,903"	-24	6/6/16		40103				
3745	1200h	N3A13547	Line193	30988	35934	"30,995"	7	6/8/16	2400h	32195	7/28/16	7	2016	
3744	1200h	N3A13272	Line95	16697	19771	"16,697"	0	6/10/16		17897				
3743	1200h	N3A13310	Line9	47871	50088	"48,036"	165	6/11/16	2400h	49236	7/31/16	7	2016	
3742	1200h	N3A13489	Line56	35356	46780	"35,418"	62	6/11/16		36618				
3741	1200h	N3A13298	Line15	45220	49722	"45,410"	190	6/12/16		46610				
3740	1200h	N3A13720	Line67	47550	47880	"47,730"	180	6/13/16		48930				
3739	1200h	N3A13299	Line103	34964	37589	"35,019"	55	6/13/16		36219				
3738	1200h	N3A13249	Line10	41596	46073	"41,720"	124	6/15/16		42920				
3737	1200h	N3A13553	Line193	35222	39553	"35,259"	37	6/15/16		36459				
3736	1200h	N3A13555	Line49	35184	36889	"35,236"	52	6/16/16		36436				
3735	4800h	N3A13259	Line83	35870	41934	"35,889"	19	6/16/16	4800h	40689				
3734	2400h	N3A13259	Line83	35870	41930	"35,885"	15	6/16/16		37085				
3733	2400h	N3A13218	Line193	29836	34863	"29,825"	-11	6/16/16		31025				
3732	9600h	N3A13218	Line193	29695	34880	"29,842"	147	6/17/16	9600h	39442				
3731	9600h	AS00000090360	Line114	19531	21736	"19,667"	136	6/26/16	9600h	29267				
3730	4800h	AS00000090360	Line114	19571	21736	"19,667"	96	6/26/16	4800h	24467				
3729	2400h	AS00000090360	Line114	19560	21736	"19,667"	107	6/26/16		20867				
3728	9600h	N3A13262	Line50	41770	48794	"42,100"	330	6/27/16	9600h	51700				
3727	4800h	N3A13262	Line50	41916	48794	"42,100"	184	6/27/16	4800h	46900				
3726	2400h	N3A13262	Line50	42043	48794	"42,100"	57	6/27/16		43300				
3725	9600h	N3A13259	Line83	35870	42020	"35,975"	105	6/21/16	9600h	45575				
3724	1200h	N3A13554	Line71	42102	44345	"42,267"	165	6/23/16		43467				
3723	1200h	N3A13420	Line193	35933	41290	"36,110"	177	6/24/16		37310				
3722	9600h	N3A13511	Line193	28771	46725	"28,945"	174	6/24/16	9600h	38545				
3721	2400h	N3A13418	Line89	28215	43672	"28,402"	187	6/24/16		29602				
3720	1200h	N3A13561	Line193	36140	38184	"36,079"	-61	6/25/16		37279				
3719	1200h	N3A13524	Line99	38991	46136	"39,094"	103	6/26/16		40294		1	1900	
3718	2400h	N3A13496	Line81	23602	24378	23709	107	6/16/16		24909				
3717	1200h	N3A13273	Line64	44827	50166	"44,897"	70	6/15/16		46097				
3716	9600h	N3A13826	Line6	19240	19563	"19,265"	25	6/18/16	9600h	28865				
3715	4800h	N3A13826	Line6	19262	19563	"19,265"	3	6/18/16	4800h	24065				
3714	2400h	N3A13826	Line6	19240	19563	"19,265"	25	6/18/16		20465				
3713	9600h	N3A13488	Line58	45145	49798	"45,146"	1	6/21/16	9600h	54746				
3712	4800h	N3A13488	Line58	45145	49798	"45,146"	1	6/21/16	4800h	49946				
3711	2400h	N3A13488	Line58	45145	49798	"45,146"	1	6/21/16		46346				
3710	2400h	N3A13248	Line38	45632	51700	"45,710"	78	6/19/16		46910				
3709	4800h	N3A13248	Line38	45632	51700	"45,710"	78	6/19/16	4800h	50510				
3708	9600h	N3A13248	Line38	45632	51700	"45,710"	78	6/19/16	9600h	55310				
3707	2400h	N3A13252	Line44	27777	30241	"27,800"	23	6/15/16		29000				
3706	2400h	N3A13823	Line63	28204	30957	"28,226"	22	6/18/16		29426				
3705	2400h	N3A13293	Line4	41309	46130	"41,480"	171	6/20/16		42680				
3704	1200h	N3A13263	Line107	42310	45689	"42,490"	180	6/16/16		43690				
3703	1200h	N3A13825	Line21	34760	38946	"34,872"	112	6/20/16		36072				
3702	1200h	N3A13564	Line193	28244	31801	"28,299"	55	6/20/16		29499				
3701	1200h	N3A13208	Line18	22456	26304	"22,547"	91	6/20/16		23747				
3700	1200h	N3A13313	Line76	47870	51399	"47,880"	10	5/26/16		49080				
3699	4800h	N3A13313	Line76	44010	47040	"44,010"	0	1/0/00		49080				
3698	1200h	N3A13313	Line76	46490	50199	"46,670"	180	4/3/16		47870				
3697	1200h	N3A13499	Line31	13569	14156	"13,722"	153	6/15/16		14922				
3696	1200h	N3A13427	Line23	44685	50418	"44,775"	90	6/16/16		45975				
3695	9600h	N3A13315	Line193	30273	34470	"30,450"	177	5/26/16	9600h	40050				
3694	4800h	N3A13315	Line193	30273	34470	"30,450"	177	5/26/16	4800h	35250				
3693	2400h	N3A13315	Line193	30273	34470	"30,450"	177	5/26/16		31650				
3692	9600h	N3A13551	Line193	33861	35130	"33,180"	-681	4/26/16	9600h	42780				
3691	2400h	N3A13551	Line193	33010	35130	"33,180"	170	4/26/16		34380				
3690	2400h	N3A13429	Line92	44670	50230	"44,860"	190	5/27/16		46060				
3689	1200h	N3A13252	Line44	26459	28921	"26,577"	118	4/18/16		27777				
3688	1200h	N3A13238	Line194	36190	41370	"36,373"	183	5/29/16		37573				
3687	4800h	N3A13261	Line88	30890	34300	"31,200"	310	5/27/16	4800h	36000				
3686	2400h	N3A13261	Line88	31051	34300	"31,200"	149	5/27/16		32400				
